planet  transit_time 	error      	source         	ID             
55Cnce         2455607.05639  	0.00087        	literature     	2011ApJ...737L..18W
55Cnce         2458871.4259   	0.0023         	space          	55Cnce_9946_2020-01-22_TESS
55Cnce         2458872.16705  	0.00078        	space          	55Cnce_9947_2020-01-23_TESS
55Cnce         2458872.9036   	0.0013         	space          	55Cnce_9948_2020-01-24_TESS
55Cnce         2458873.6397   	0.001          	space          	55Cnce_9949_2020-01-25_TESS
55Cnce         2458874.3767   	0.001          	space          	55Cnce_9950_2020-01-25_TESS
55Cnce         2458875.1126   	0.0012         	space          	55Cnce_9951_2020-01-26_TESS
55Cnce         2458875.8479   	0.0019         	space          	55Cnce_9952_2020-01-27_TESS
55Cnce         2458876.5896   	0.006          	space          	55Cnce_9953_2020-01-28_TESS
55Cnce         2458877.32134  	0.00081        	space          	55Cnce_9954_2020-01-28_TESS
55Cnce         2458878.05796  	0.00081        	space          	55Cnce_9955_2020-01-29_TESS
55Cnce         2458878.7957   	0.0024         	space          	55Cnce_9956_2020-01-30_TESS
55Cnce         2458879.5318   	0.0011         	space          	55Cnce_9957_2020-01-31_TESS
55Cnce         2458880.268    	0.0018         	space          	55Cnce_9958_2020-01-31_TESS
55Cnce         2458881.0048   	0.0016         	space          	55Cnce_9959_2020-02-01_TESS
55Cnce         2458881.7397   	0.001          	space          	55Cnce_9960_2020-02-02_TESS
55Cnce         2458882.4759   	0.00085        	space          	55Cnce_9961_2020-02-02_TESS
55Cnce         2458883.2148   	0.0018         	space          	55Cnce_9962_2020-02-03_TESS
55Cnce         2458887.6315   	0.0015         	space          	55Cnce_9968_2020-02-08_TESS
55Cnce         2458888.3702   	0.0014         	space          	55Cnce_9969_2020-02-08_TESS
55Cnce         2458889.1038   	0.0014         	space          	55Cnce_9970_2020-02-09_TESS
55Cnce         2458889.8419   	0.0016         	space          	55Cnce_9971_2020-02-10_TESS
55Cnce         2458890.57884  	0.00082        	space          	55Cnce_9972_2020-02-11_TESS
55Cnce         2458891.31602  	0.0006         	space          	55Cnce_9973_2020-02-11_TESS
55Cnce         2458892.05384  	0.00096        	space          	55Cnce_9974_2020-02-12_TESS
55Cnce         2458892.78868  	0.00089        	space          	55Cnce_9975_2020-02-13_TESS
55Cnce         2458893.52531  	0.00073        	space          	55Cnce_9976_2020-02-14_TESS
55Cnce         2458894.2622   	0.001          	space          	55Cnce_9977_2020-02-14_TESS
55Cnce         2458894.998    	0.0011         	space          	55Cnce_9978_2020-02-15_TESS
55Cnce         2458895.73601  	0.00076        	space          	55Cnce_9979_2020-02-16_TESS
55Cnce         2458896.4696   	0.0013         	space          	55Cnce_9980_2020-02-16_TESS
55Cnce         2458897.20701  	0.00085        	space          	55Cnce_9981_2020-02-17_TESS
55Cnce         2459501.17697  	0.00067        	space          	55Cnce_10801_2021-10-13_TESS
55Cnce         2459501.91334  	0.00065        	space          	55Cnce_10802_2021-10-14_TESS
55Cnce         2459502.6483   	0.00067        	space          	55Cnce_10803_2021-10-15_TESS
55Cnce         2459503.3868   	0.00097        	space          	55Cnce_10804_2021-10-15_TESS
55Cnce         2459504.12324  	0.00057        	space          	55Cnce_10805_2021-10-16_TESS
55Cnce         2459504.85886  	0.00063        	space          	55Cnce_10806_2021-10-17_TESS
55Cnce         2459505.59592  	0.00076        	space          	55Cnce_10807_2021-10-18_TESS
55Cnce         2459506.3311   	0.0017         	space          	55Cnce_10808_2021-10-18_TESS
55Cnce         2459507.0664   	0.0019         	space          	55Cnce_10809_2021-10-19_TESS
55Cnce         2459507.80542  	0.00081        	space          	55Cnce_10810_2021-10-20_TESS
55Cnce         2459508.54163  	0.00046        	space          	55Cnce_10811_2021-10-21_TESS
55Cnce         2459509.2781   	0.00096        	space          	55Cnce_10812_2021-10-21_TESS
55Cnce         2459510.0173   	0.001          	space          	55Cnce_10813_2021-10-22_TESS
55Cnce         2459510.75216  	0.00058        	space          	55Cnce_10814_2021-10-23_TESS
55Cnce         2459511.4882   	0.0011         	space          	55Cnce_10815_2021-10-23_TESS
55Cnce         2459515.17071  	0.00042        	space          	55Cnce_10820_2021-10-27_TESS
55Cnce         2459515.907    	0.001          	space          	55Cnce_10821_2021-10-28_TESS
55Cnce         2459516.64391  	0.00092        	space          	55Cnce_10822_2021-10-29_TESS
