planet,number,telescope,transit_time,error,
TOI-270 b,1,TESS,2458387.09,0.0211,
TOI-270 b,2,TESS,2458390.452,0.00719,
TOI-270 b,3,TESS,2458393.814,0.01845,
TOI-270 b,4,TESS,2458397.169,0.02853,
TOI-270 b,5,TESS,2458400.532,0.01164,
TOI-270 b,6,TESS,2458403.89,0.00561,
TOI-270 b,9,TESS,2458413.982,0.00724,
TOI-270 b,10,TESS,2458417.334,0.00937,
TOI-270 b,13,TESS,2458427.425,0.01211,
TOI-270 b,15,TESS,2458434.139,0.00714,
TOI-270 b,17,TESS,2458440.852,0.02183,
TOI-270 b,18,TESS,2458444.217,0.00687,
TOI-270 b,19,TESS,2458447.574,0.00304,
TOI-270 b,22,TESS,2458457.656,0.0092,
TOI-270 b,23,TESS,2458461.016,0.01262,
TOI-270 b,34,LCO,2458497.971,0.01585,
TOI-270 b,37,LCO,2458508.052,0.01428,
TOI-270 b,38,LCO,2458511.412,0.00679,
TOI-270 b,103,NGTS,2458729.828,0.01621,
TOI-270 b,133,LCO,2458830.632,0.01385,
TOI-270 b,215,LCO,2459106.169,0.00555,
TOI-270 b,218,TESS,2459116.238,0.01181,
TOI-270 b,219,TESS,2459119.606,0.00555,
TOI-270 b,220,TESS,2459122.959,0.01316,
TOI-270 b,221,TESS,2459126.325,0.00683,
TOI-270 b,223,TESS,2459133.046,0.02103,
TOI-270 b,224,TESS,2459136.41,0.03099,
TOI-270 b,225,TESS,2459139.764,0.02113,
TOI-270 b,227,LCO,2459146.486,0.01916,
TOI-270 b,236,TESS,2459176.732,0.00293,
TOI-270 b,237,TESS,2459180.09,0.00268,
TOI-270 b,238,TESS,2459183.451,0.00585,
TOI-270 b,240,TESS,2459190.166,0.00736,
TOI-270 b,241,TESS,2459193.531,0.02524,
TOI-270 b,242,TESS,2459196.887,0.00599,
TOI-270 c,0,TESS,2458383.842,0.00093,
TOI-270 c,1,TESS,2458389.504,0.00141,
TOI-270 c,2,TESS,2458395.162,0.00064,
TOI-270 c,4,TESS,2458406.482,0.00134,
TOI-270 c,5,TESS,2458412.142,0.00091,
TOI-270 c,6,TESS,2458417.803,0.00145,
TOI-270 c,7,TESS,2458423.464,0.00084,
TOI-270 c,8,TESS,2458429.123,0.00103,
TOI-270 c,9,TESS,2458434.784,0.00101,
TOI-270 c,10,TESS,2458440.444,0.00155,
TOI-270 c,11,TESS,2458446.104,0.00094,
TOI-270 c,12,TESS,2458451.765,0.00128,
TOI-270 c,13,TESS,2458457.428,0.00394,
TOI-270 c,14,LCO,2458463.084,0.00033,
TOI-270 c,19,LCO,2458491.385,0.00043,
TOI-270 c,33,ASTEP,2458570.633,0.00149,
TOI-270 c,37,Spitzer,2458593.273,0.00018,
TOI-270 c,55,TRAPPIST,2458695.162,0.00085,
TOI-270 c,61,TRAPPIST,2458729.124,0.00067,
TOI-270 c,61,LCO,2458729.125,0.00036,
TOI-270 c,63,LCO,2458740.448,0.00056,
TOI-270 c,66,LCO,2458757.429,0.00031,
TOI-270 c,69,LCO,2458774.41,0.0004,
TOI-270 c,70,TRAPPIST,2458780.07,0.00096,
TOI-270 c,72,LCO,2458791.394,0.00033,
TOI-270 c,73,LCO,2458797.054,0.00035,
TOI-270 c,73,TRAPPIST,2458797.054,0.00067,
TOI-270 c,74,LCO,2458802.714,0.00036,
TOI-270 c,77,LCO,2458819.695,0.00128,
TOI-270 c,78,Spitzer,2458825.357,0.00019,
TOI-270 c,81,Spitzer,2458842.339,0.00014,
TOI-270 c,83,Spitzer,2458853.661,0.00015,
TOI-270 c,84,Spitzer,2458859.322,0.00013,
TOI-270 c,107,ASTEP,2458989.518,0.00113,
TOI-270 c,108,ASTEP,2458995.176,0.002,
TOI-270 c,110,ASTEP,2459006.502,0.00106,
TOI-270 c,129,TESS,2459114.054,0.00072,
TOI-270 c,130,TESS,2459119.714,0.001,
TOI-270 c,131,TESS,2459125.374,0.00076,
TOI-270 c,132,TESS,2459131.037,0.00071,
TOI-270 c,135,LCO,2459148.017,0.00029,
TOI-270 c,139,TESS,2459170.659,0.0009,
TOI-270 c,140,TESS,2459176.319,0.00081,
TOI-270 c,141,TESS,2459181.981,0.00101,
TOI-270 c,142,TESS,2459187.64,0.00092,
TOI-270 c,143,TESS,2459193.302,0.00129,
TOI-270 c,147,LCO,2459215.94,0.00112,
TOI-270 d,1,TESS,2458389.679,0.00118,
TOI-270 d,2,TESS,2458401.058,0.00158,
TOI-270 d,3,TESS,2458412.436,0.00614,
TOI-270 d,5,TESS,2458435.198,0.00098,
TOI-270 d,6,TESS,2458446.58,0.00203,
TOI-270 d,7,TESS,2458457.959,0.00449,
TOI-270 d,14,LCO,2458537.618,0.00075,
TOI-270 d,24,Spitzer,2458651.417,0.00025,
TOI-270 d,33,LCO,2458753.83,0.00033,
TOI-270 d,33,NGTS,2458753.833,0.00125,
TOI-270 d,34,LCO,2458765.212,0.00047,
TOI-270 d,35,LCO,2458776.591,0.00071,
TOI-270 d,38,NGTS,2458810.727,0.00083,
TOI-270 d,38,TRAPPIST,2458810.732,0.00142,
TOI-270 d,39,Spitzer,2458822.109,0.00023,
TOI-270 d,42,Spitzer,2458856.248,0.00024,
TOI-270 d,59,LCO,2459049.697,0.0007,
TOI-270 d,63,LCO,2459095.214,0.00043,
TOI-270 d,65,TESS,2459117.971,0.00107,
TOI-270 d,67,TESS,2459140.731,0.00128,
TOI-270 d,70,TESS,2459174.869,0.00136,
TOI-270 d,72,TESS,2459197.629,0.00123,
