,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
55Cnce,55Cnce,medium,93,0,1,0,0,0,91,0,1,0,0.02,2004ApJ...614L..81M,0.45,1.56,2459370.807543,9.3e-05,-9.3e-05,BJD_TDB,Days,0.73654625,1.5e-07,-1.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.6,False,0.6,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.0187,False,0.0004,-0.0004,None,3.47,False,0.07,-0.07,None,2019A&A...631A.129S,0.0,0.0,-0.0,0.0,9.8e-05,-9.8e-05,55Cnc,08:52:35.8113,+28:19:50.956,5.96,5.4,5.714,4.45,0.08,-0.08,cm/s2,0.31,0.04,-0.04,dex Fe/H or M/H,5234.0,30.0,-30.0,Kelvin,2011A&A...533A.114D,71.29,61.74,11.24,2459370.807543,9.3e-05,0.73654625,1.5e-07
AUMicb,AUMicb,high,0,0,0,0,0,0,0,0,0,0,0.0,2020Natur.582..497P,3.32,3.51,2458330.39051,0.00015,-0.00015,BJD_TDB,Days,8.463,2e-06,-2e-06,Days,2021A&A...649A.177M,0.0,0.0,-0.0,89.5,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.0496,False,0.0007,-0.0007,None,19.1,False,0.3,-0.3,None,2021A&A...649A.177M,0.0,0.0,-0.0,0.0,0.0,-0.0,AUMic,20:45:09.5323,-31:20:27.241,8.627,9.078,7.84,4.387,0.061,-0.061,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3700.0,100.0,-100.0,Kelvin,2020Natur.582..497P,11.0,9.53,83.51,2458330.39051,0.00015,8.463,2e-06
AUMicc,AUMicc,high,0,0,0,0,0,0,0,0,0,0,0.0,2021A&A...649A.177M,1.96,4.51,2458342.2223,0.0005,-0.0005,BJD_TDB,Days,18.859019,1.6e-05,-1.6e-05,Days,2021A&A...649A.177M,0.0,0.0,-0.0,89.0,False,0.5,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.0395,False,0.0011,-0.0011,None,29.0,False,3.0,-3.0,None,2021A&A...649A.177M,0.0,0.0,-0.0,0.0,0.0,-0.0,AUMic,20:45:09.5323,-31:20:27.241,8.627,9.078,7.84,4.387,0.061,-0.061,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3700.0,100.0,-100.0,Kelvin,2021A&A...649A.177M,17.86,15.46,57.23,2458342.2223,0.0005,18.859019,1.6e-05
CoRoT-1b,CoRoT-1b,low,12,12,12,12,0,0,0,0,0,0,0.47,2008A&A...482L..17B,24.56,2.51,2456268.99119,0.00012,-0.00012,BJD_TDB,Days,1.50896877,8e-08,-8e-08,Days,2022ApJS..259...62I,0.0,0.0,0.0,85.1,False,0.5,-0.5,Degrees,0.0,0.0,0.0,Degrees,0.1388,False,0.0021,-0.0021,None,4.92,False,0.08,-0.08,None,2008A&A...482L..17B,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-1,06:48:19.1723,-03:06:07.710,13.6,13.44,13.457,4.25,0.3,-0.3,cm/s2,-0.3,0.25,-0.25,dex Fe/H or M/H,5950.0,150.0,-150.0,Kelvin,2008A&A...482L..17B,9.23,9.23,20.77,2456268.99119,0.00012,1.50896877,8e-08
CoRoT-2b,CoRoT-2b,low,47,6,40,6,0,0,0,0,7,0,0.08,2008A&A...482L..21A,36.99,2.28,2457683.44158,0.00016,-0.00016,BJD_TDB,Days,1.74299705,1.5e-07,-1.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.84,False,0.1,-0.1,Degrees,0.0,0.0,-0.0,Degrees,0.1667,False,0.0006,-0.0006,None,6.7,False,0.03,-0.03,None,2008A&A...482L..21A,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-2,19:27:06.4944,+01:23:01.357,12.568,12.204,12.249,4.42,0.12,-0.12,cm/s2,0.03,0.06,-0.06,dex Fe/H or M/H,5696.0,70.0,-70.0,Kelvin,2010A&A...517A..40C,6.08,6.08,73.02,2457683.44158,0.00016,1.74299705,1.5e-07
CoRoT-5b,CoRoT-5b,low,6,6,6,6,0,0,0,0,0,0,4.46,2009A&A...506..281R,14.93,2.77,2456665.4696,0.00065,-0.00065,BJD_TDB,Days,4.0379156,1.2e-06,-1.2e-06,Days,2022ApJS..259...62I,0.0,0.0,0.0,85.68,False,0.18,-0.17,Degrees,0.0,0.0,0.0,Degrees,0.1155,False,0.00083,-0.00083,None,9.54,False,0.2,-0.19,None,2019MNRAS.483..824R,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-5,06:45:06.5406,+00:48:54.905,14.018,13.82,13.902,4.19,0.03,-0.03,cm/s2,-0.25,0.06,-0.06,dex Fe/H or M/H,6100.0,65.0,-65.0,Kelvin,2009A&A...506..281R,10.62,10.62,10.13,2456665.4696,0.00065,4.0379156,1.2e-06
CoRoT-10b,CoRoT-10b,high,0,0,0,0,0,0,0,0,0,0,0.0,2010A&A...520A..65B,15.32,3.02,2454273.3443,0.0012,-0.0012,BJD_TDB,Days,13.2406,0.0002,-0.0002,Days,2010A&A...520A..65B,0.53,0.04,-0.04,88.55,False,0.2,-0.2,Degrees,218.9,6.4,-6.4,Degrees,0.127,False,0.004,-0.004,None,31.3,False,2.1,-2.1,None,2010A&A...520A..65B,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-10,19:24:15.2868,+00:44:46.003,15.216,15.48,14.665,4.65,0.1,-0.1,cm/s2,0.26,0.07,-0.07,dex Fe/H or M/H,5075.0,75.0,-75.0,Kelvin,2010A&A...520A..65B,20.56,20.56,8.76,2454273.3443,0.0012,13.2406,0.0002
CoRoT-11b,CoRoT-11b,medium,28,0,23,0,4,0,0,0,1,0,-0.46,2010A&A...524A..55G,11.76,2.49,2456019.9622,0.00037,-0.00037,BJD_TDB,Days,2.99427803,4.9e-07,-4.9e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.17,False,0.15,-0.15,Degrees,0.0,0.0,-0.0,Degrees,0.107,False,0.0005,-0.0005,None,6.89,False,0.08,-0.08,None,2010A&A...524A..55G,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-11,18:42:44.9499,+05:56:15.652,12.939,12.622,12.841,4.22,0.23,-0.23,cm/s2,-0.03,0.08,-0.08,dex Fe/H or M/H,6440.0,120.0,-120.0,Kelvin,2010A&A...524A..55G,7.9,6.95,15.98,2456019.9622,0.00037,2.99427803,4.9e-07
CoRoT-19b,CoRoT-19b,high,19,0,0,0,0,0,11,0,8,0,0.0,2012A&A...537A.136G,8.08,4.7,2455701.7154,0.00048,-0.00048,BJD_TDB,Days,3.8971379,1.6e-06,-1.6e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.0,False,0.7,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.0786,False,0.0004,-0.0004,None,6.7,False,0.1,-0.1,None,2012A&A...537A.136G,0.0,0.0,-0.0,0.0,0.0022,-0.0022,CoRoT-19,06:28:08.0586,-00:10:14.532,14.007,14.17,13.783,4.07,0.03,-0.03,cm/s2,-0.02,0.1,-0.1,dex Fe/H or M/H,6090.0,70.0,-70.0,Kelvin,2012A&A...537A.136G,17.81,15.43,8.56,2455701.7154,0.00048,3.8971379,1.6e-06
DSTucAb,DSTucAb,high,0,0,0,0,0,0,0,0,0,0,0.0,2019ApJ...880L..17N,3.93,3.18,2458332.31077,0.00026,-0.00026,BJD_TDB,Days,8.138268,1.1e-05,-1.1e-05,Days,2019ApJ...880L..17N,0.0,0.0,-0.0,89.5,False,0.34,-0.41,Degrees,0.0,0.0,-0.0,Degrees,0.05419,False,0.00024,-0.00024,None,20.35,False,0.29,-0.69,None,2019ApJ...880L..17N,0.0,0.0,-0.0,0.0,0.0,-0.0,DSTucA,23:39:39.4809,-69:11:44.709,8.47,9.28,8.319,4.478,0.053,-0.053,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5428.0,80.0,-80.0,Kelvin,2019ApJ...880L..17N,9.77,8.47,69.25,2458332.31077,0.00026,8.138268,1.1e-05
