,planet,mu_T0,var_T0,mu_P,var_P,mu_dP_dE_ms,var_dP_dE_ms,Prob dP/dE < 0
0,HAT-P-1,-0.0003147235782499464,9.296175667267182e-08,4.465299653036899,6.191295331306216e-13,0.2571516537451728,0.06699556129598257,0.1602340470657389
1,KELT-16,,,,,,,
2,WASP-10,-0.000859617587998695,2.7936911129665298e-08,3.092727928873085,2.672735891681088e-14,-0.2153242450305537,0.005031860117062873,0.9987992698064685
3,KELT-1,0.0010286832691042095,3.408803935128416e-07,1.2174948861160522,6.184328087664418e-14,-0.12920120101241533,0.002816190264202638,0.9925467864808226
4,WASP-80,,,,,,,
5,XO-1,,,,,,,
6,GJ-436,0.004087350751969736,3.430940677501574e-08,2.643897852041727,2.3777950167169014e-14,0.14073264340885505,0.0028465246687122544,0.0041726248634775765
7,WASP-92,0.0003043978292975611,1.8822918029805824e-07,2.1746699517792663,3.103130864341978e-12,-0.6134773231325683,0.12274748940578677,0.9600291488427101
8,HAT-P-10,0.002194898550387319,5.203258980652694e-07,3.722490450669927,5.6175133627222e-11,1.027367860143354,5.324248535397533,0.3280721831188095
9,HAT-P-36,-0.010323686112784579,4.2238091445998624e-08,1.3273468637718946,9.422996804230932e-15,0.07346997030190713,0.0006312957726945487,0.0017272237996004663
10,XO-3,,,,,,,
11,WASP-5,-0.0009377232112027902,2.3792861980372277e-08,1.6284300350874485,7.421366773974311e-14,0.01118014860760663,0.000524779346883759,0.31275924579638736
12,HAT-P-28,0.002347056678442825,9.372360546940232e-08,3.257212591865612,3.190211654193924e-13,-0.2929686946024763,0.061443166047452626,0.8813793016983051
13,CoRoT-2,0.00015218141502912935,3.516595858219457e-08,1.7429977941109396,2.046411496924538e-14,0.07109990328004355,0.0010977995228637055,0.015940870976536018
14,HAT-P-12,-0.001077571543780588,2.9372874847035595e-08,3.2130577338695505,4.295862844593142e-14,-0.08348336847917948,0.005440015845913673,0.8711572795848191
15,WASP-12,0.00422278864093059,3.679702895592034e-08,1.0914196697374343,1.6105489667550132e-14,-0.06785914128659078,0.00020729354103228453,0.9999987806911738
16,HAT-P-3,0.001160795862905585,3.49184437037709e-08,2.899738079161125,2.5446788045881623e-14,-0.13525137385168037,0.006349566944385044,0.9551840907275911
17,TrES-5,0.0025010832512581543,2.5416492721080616e-08,1.4822468577811267,6.184526263607323e-14,-0.12129101253808523,0.0022376959729595385,0.9948272080731283
18,WASP-36,-0.0014006916806472498,1.224383465711561e-07,1.537365577909392,1.4963960618512587e-14,0.0436625407805568,0.002673193112390099,0.19919819040196718
19,WASP-103,-0.003444145406326359,8.149411153519148e-08,0.9255450383826326,3.411333052310726e-14,-0.12714721341001847,0.0020550845764311376,0.9974821100349748
20,HAT-P-16,0.0016355309280024436,6.94306730476372e-08,2.775967739317988,4.151971893025867e-14,-0.005348701983898967,0.009316975083012437,0.5220952433114219
21,HAT-P-32,0.010777174229403452,1.7757623976881657e-08,2.150008978115659,7.45196321027788e-14,-0.17647960792414677,0.0024655728855384265,0.9998103977082607
22,WASP-1,0.000293882609049995,1.527916277610267e-07,2.51994692601052,4.5541791261287544e-14,0.02144910690126738,0.008979342001928436,0.41046329757638533
23,HAT-P-20,-0.00044829532670769744,2.9207529010147876e-08,2.8753184352212524,1.0012983587265518e-13,-0.10239875945296034,0.013269409866985226,0.8129803796366217
24,WASP-43,-0.0012380137834719668,2.1203676414926053e-08,0.8134741203787643,3.4948279494748202e-15,-0.01255529255680931,4.536941071322516e-05,0.9688389548496963
25,TrES-1,0.00029225643383947917,2.1822263544935228e-08,3.030069718393724,4.0467859980267035e-15,-0.07095090455325842,0.0013638062079547866,0.9726492671166193
26,HD209458,-0.0012597131191949631,2.525454077292239e-08,3.524749217438554,5.248379557010894e-14,0.07513372510650872,0.00197863430821068,0.045601329237566435
27,WASP-14,0.003123387256855553,9.846110419173966e-07,2.2437639247641648,2.116398557975303e-12,0.5259394883903507,0.06979921280745806,0.023255754238221356
28,TrES-3,0.002218130800483161,8.164374216078419e-09,1.3061862346799398,1.4460876240446325e-15,-0.019713858716441907,4.835795630938543e-05,0.9977079949615182
29,HAT-P-5,0.002737047439676148,1.12518170038485e-07,2.7884728534979217,3.5375965472101676e-14,-0.3000182640616772,0.010405773976325436,0.9983647806630678
30,Qatar-1,-0.013870721689263146,9.646014218252321e-09,1.420024535874033,1.7592413965266434e-14,-0.004281941618589123,0.000522510317469561,0.5742966769395369
31,WASP-65,-0.005252658821186067,9.353779400662129e-08,2.3114216714713853,8.961835609779081e-13,-0.04564393198500766,0.17252202158824756,0.5437519548929091
32,HAT-P-18,-0.003709541779081421,9.086664778575041e-08,5.508029960855979,3.192054494026986e-13,-1.2671263893550395,0.22671889669882653,0.9961067634428176
