,Planet,mu_T0,var_T0,mu_P,var_P,mu_dP_dE_ms,var_dP_dE_ms,Prob dP/dE < 0
0,HAT-P-1,235.13437890520538,6.111216306935542e-08,5.074676427254216,3.0637519484554135e-13,-132581.08449132464,0.05021363190891894,1.0
1,KELT-16,0.08352537215108867,1.3264410054441826e-08,0.9697536569620668,3.970105159252722e-14,21.304003372466223,0.0015733744607284565,0.0
2,WASP-10,-0.0009072077365107875,3.5424219324405178e-09,3.0927278789341566,3.9955494035497164e-15,-0.2045273391751486,0.0010218764270878448,0.9999999999213476
3,KELT-1,0.0011878572850288387,3.571771196008954e-08,1.2174951627217205,1.553519348851063e-14,-0.16186472562997328,0.0004770698412214929,0.9999999999999372
4,WASP-80,0.1991010229900517,4.128174468417801e-09,3.076304838910486,1.5080018567287885e-13,-1890.259257885229,0.023718215946779305,1.0
5,XO-1,0.14306909228653633,1.0846621832794508e-08,3.9452776607677045,2.151183298834409e-14,-214.69829484440643,0.0036769047562025194,1.0
6,GJ-436,0.004033723800520683,1.3285877796605586e-08,2.643897997944185,1.1484047809283216e-14,0.16560691054794052,0.0011591986528585723,5.749906679429458e-07
7,WASP-92,0.0006031905658837413,3.6824869221270094e-08,2.1746713043388017,5.281609940078489e-13,-0.4468512668586013,0.02049065348102617,0.9991008163086876
8,HAT-P-10,0.0022080554916112053,5.820921590890872e-09,3.722489307595159,3.523078120797499e-14,0.5794178152066273,0.006746723030210433,8.682225311726495e-13
9,HAT-P-36,-0.010354370539568229,6.254956395526581e-09,1.3273469477699176,3.173690568821258e-15,0.09065697983995326,0.0001840649916807803,1.1773797728342437e-11
10,XO-3,-0.41188701278411893,3.049584488055402e-08,3.1942185553934834,8.173423917751283e-14,25.320761754323943,0.009527253252024009,0.0
11,WASP-5,-0.0010873039030837577,8.8747796851978e-09,1.6284298016438867,7.534574356600434e-15,0.019512124227653253,0.00015978124268811522,0.06133966650321786
12,HAT-P-28,0.0020815883303075037,5.530406539979124e-08,3.2572121444361994,2.5054368080819045e-13,-0.0046290372925472025,0.050317220305613905,0.5082321182658405
13,CoRoT-2,0.00012019140814585751,5.540173024808122e-09,1.7429977932434582,3.942101012960281e-15,0.09213478763726098,0.00011704269796186385,8.235855853838326e-18
14,HAT-P-12,-0.001131486025434045,5.350549635579572e-09,3.2130577805111167,1.6901822347971887e-14,-0.09509371313474434,0.0020180825107102944,0.9828621086437457
15,WASP-12,0.0042629199106351085,3.514275596432287e-09,1.0914196598444261,8.917304166714222e-16,-0.06885770736033554,1.799968050136934e-05,1.0
16,HAT-P-3,0.0012085215462418536,8.438043917491571e-09,2.8997381410688927,1.1821291833854773e-14,-0.08932908934643044,0.0019922834617847342,0.9773212421854335
17,TrES-5,0.0024070840326927854,2.937766183107141e-09,1.4822466977148128,6.4998608169252495e-15,-0.06280811902050261,0.00043692695712397233,0.9986710952785279
18,WASP-36,-0.0015804726834016635,3.561241366542899e-08,1.5373655027199866,8.69035844847705e-15,0.06270428015267043,0.0008757843659588108,0.017051906965758028
19,WASP-103,-0.0036917228909824464,4.5231880603952344e-08,0.925544974113638,2.1539151234457763e-14,-0.06343748359337184,0.0010777809405707504,0.9733404417355741
20,HAT-P-16,0.001345546763157039,2.3931274671763456e-08,2.7759679206429486,2.7999049101370224e-14,0.04594802520092253,0.00504595781445297,0.2588686305796827
21,HAT-P-32,0.01073883326018899,2.5989649068684857e-09,2.150008883066889,1.2569706909725548e-14,-0.16123395269528684,0.0007192568217159486,0.9999999990834089
22,WASP-1,0.0003254846483754698,2.983481430778935e-08,2.51994722477605,3.023772278569875e-14,0.06773353197011871,0.003047084928725976,0.1099023330835246
23,HAT-P-20,-0.00041473633140716047,6.597306099939081e-09,2.8753186112300515,1.2254827206826976e-14,-0.09961353674462539,0.002822955210993883,0.9695932709875861
24,WASP-43,-0.0012156258040789186,3.722506862973447e-09,0.8134741122320434,8.867551537980286e-16,-0.018008625372770627,1.3777378620813525e-05,0.9999993880763206
25,TrES-1,0.00020284296625108447,3.407938977399288e-09,3.0300696899392623,2.092625250325134e-15,-0.06022313559472879,0.00028491458667632735,0.9998200355899522
26,HD209458,-0.001129493278103794,1.0375623350451577e-08,3.5247490907456087,1.3874014852714242e-14,0.016689161648666892,0.0009553497828969013,0.29461585550001934
27,WASP-14,0.003384066331556616,5.5334515622161734e-08,2.24376398926859,2.243449679598726e-13,0.4725431455434017,0.006539555673156018,2.556942638555227e-09
28,TrES-3,0.002227477333473024,1.2790103952964662e-09,1.3061862347255329,3.5349347628798973e-16,-0.01908963937328138,1.0013029458919395e-05,0.9999999991940122
29,HAT-P-5,0.0028311592032695524,2.2346175964468414e-08,2.788472933878416,2.943519337109938e-14,-0.33052607326818656,0.003403261397140729,0.999999992681228
30,Qatar-1,-0.013853200092242385,1.1950089545234408e-09,1.420024600065971,1.5302010805540475e-15,-0.006331740582769862,6.234243899494507e-05,0.7887004746487809
31,WASP-65,-0.005061219337607708,3.033275973930326e-08,2.311421774483388,2.9446078835646327e-13,-0.06060405090821829,0.04984300753315914,0.606979853177168
32,HAT-P-18,-0.0040792705107981385,2.8661354170155163e-08,5.508030323721124,2.637086154576841e-13,-0.8087198196502177,0.1193785461070338,0.9903746849520958
33,HAT-P-22,-0.0016683775563800438,2.3604030306693253e-08,3.2122312018313814,3.978395677682083e-14,-0.3936990168492619,0.009327503414938248,0.9999771352992494
34,HAT-P-53,-0.005232054862853629,3.752506595351888e-08,1.9616201754727876,1.9589883275519064e-13,-0.5525796049095798,0.0054159002953859635,0.9999999999999701
35,WASP-3,0.00028231421738357304,1.002784989686252e-08,1.8468349738409573,4.788173139379546e-15,0.006151001656662479,0.0003466843623651378,0.37056649227311367
36,XO-5,0.0046325866349698295,2.9668684096013508e-08,4.187752655232978,1.585159244559671e-13,2.233331353397379,0.0325728885356768,1.7972974497152453e-35
37,HAT-P-30,0.03966252490928882,7.999211538549294e-08,2.813153605267406,7.71295305029549e-14,-117.89869430956834,0.02332315362621532,1.0
38,HAT-P-11,-9.50197944542978e-05,3.1622272374662245e-10,4.8878037251380135,1.2590493357898247e-12,-0.9147152574998081,0.08010384532870107,0.9993851708277154
39,Kepler-17,0.002786087143376857,2.1226829001308544e-08,1.4857112850719465,9.53481876071663e-15,0.06326832853926427,0.00039741364822793677,0.0007525628838561842
40,CoRoT-1,-0.0009431054996010613,2.3346153588387925e-08,1.508968623519434,1.0456602493374703e-14,0.01665406311088496,0.00023555285987819944,0.1389352248479777
41,HAT-P-56,0.42359589603865605,2.979531985685626e-08,2.7980705813812894,1.5361448058557682e-12,1058.2421949022823,0.09160441074027142,0.0
42,HAT-P-27,-0.0038673706670595605,4.0297988141415126e-08,3.0395778168780474,9.804603806211324e-14,0.05856766016542624,0.01840587587072136,0.33298060769861465
43,HAT-P-44,0.0015532793311892649,1.4597367133934017e-08,4.301188496244443,8.912196813713244e-13,-0.5367685376437206,0.07439744173195902,0.9754615378373377
